sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
244,2.527140944992425,0.0,0.0,0.0,0.0,0.0,0.0
245,2.5351252510008635,0.0,0.0,0.0,0.0,0.0,0.0
246,2.543136377003975,0.0,0.0,0.0,0.0,0.0,0.0
247,2.5511292690061964,0.0,0.0,0.0,0.0,0.0,0.0
248,2.559134494003956,0.0,0.0,0.0,0.0,0.0,0.0
249,2.5671363419969566,0.0,0.0,0.0,0.0,0.0,0.0
250,2.5751211189926835,0.0,0.0,0.0,0.0,0.0,0.0
251,2.5831222260021605,0.0,0.0,0.0,0.0,0.0,0.0
252,2.591148339997744,0.0,0.0,0.0,0.0,0.0,0.0
253,2.5991467319981894,0.0,0.0,0.0,0.0,0.0,0.0
254,2.607129925992922,0.0,0.0,0.0,0.0,0.0,0.0
255,2.615141993999714,0.0,0.0,0.0,0.0,0.0,0.0
256,2.6231243560032453,0.0,0.0,0.0,0.0,0.0,0.0
257,2.631124250998255,0.0,0.0,0.0,0.0,0.0,0.0
258,2.6391231140005402,0.0,0.0,0.0,0.0,0.0,0.0
259,2.6471125389944063,0.0,0.0,0.0,0.0,0.0,0.0
260,2.655137270994601,0.0,0.0,0.0,0.0,0.0,0.0
261,2.6631573530030437,0.0,0.0,0.0,0.0,0.0,0.0
262,2.671139925994794,0.0,0.0,0.0,0.0,0.0,0.0
263,2.67913732600573,0.0,0.0,0.0,0.0,0.0,0.0
264,2.6871357280033408,0.0,0.0,0.0,0.0,0.0,0.0
265,2.6951296719926177,0.0,0.0,0.0,0.0,0.0,0.0
266,2.7031311900063884,0.0,0.0,0.0,0.0,0.0,0.0
267,2.711128690993064,0.0,0.0,0.0,0.0,0.0,0.0
268,2.7191561270010425,0.0,0.0,0.0,0.0,0.0,0.0
269,2.7271341610030504,0.0,0.0,0.0,0.0,0.0,0.0
270,2.7351499159995,0.0,0.0,0.0,0.0,0.0,0.0
271,2.743129623006098,0.0,0.0,0.0,0.0,0.0,0.0
272,2.751141008993727,0.0,0.0,0.0,0.0,0.0,0.0
273,2.7591278899926692,0.0,0.0,0.0,0.0,0.0,0.0
274,2.7671547649952117,0.0,0.0,0.0,0.0,0.0,0.0
275,2.775120677004452,0.0,0.0,0.0,0.0,0.0,0.0
276,2.7831175759929465,0.0,0.0,0.0,0.0,0.0,0.0
277,2.791154410006129,0.0,0.0,0.0,0.0,0.0,0.0
278,2.7991386049980065,0.0,0.0,0.0,0.0,0.0,0.0
279,2.807125104998704,0.0,0.0,0.0,0.0,0.0,0.0
280,2.815300116999424,0.0,0.0,0.0,0.0,0.0,0.0
281,2.823130877004587,0.0,0.0,0.0,0.0,0.0,0.0
282,2.8311393670010148,0.0,0.0,0.0,0.0,0.0,0.0
283,2.839137237999239,0.0,0.0,0.0,0.0,0.0,0.0
284,2.8471412409999175,0.0,0.0,0.0,0.0,0.0,0.0
285,2.855133402001229,0.0,0.0,0.0,0.0,0.0,0.0
286,2.8631658170052106,0.0,0.0,0.0,0.0,0.0,0.0
287,2.8711331920058,0.0,0.0,0.0,0.0,0.0,0.0
288,2.8791437960026087,0.0,0.0,0.0,0.0,0.0,0.0
289,2.8871220110013383,0.0,0.0,0.0,0.0,0.0,0.0
290,2.8951459609961603,0.0,0.0,0.0,0.0,0.0,0.0
291,2.9031264499935787,0.0,0.0,0.0,0.0,0.0,0.0
292,2.911122046003584,0.0,0.0,0.0,0.0,0.0,0.0
293,2.919126580003649,0.0,0.0,0.0,0.0,0.0,0.0
294,2.9271132909925655,0.0,0.0,0.0,0.0,0.0,0.0
295,2.9351221620017895,0.0,0.0,0.0,0.0,0.0,0.0
296,2.9431275069946423,0.0,0.0,0.0,0.0,0.0,0.0
297,2.951124807004817,0.0,0.0,0.0,0.0,0.0,0.0
298,2.959120294006425,0.0,0.0,0.0,0.0,0.0,0.0
299,2.967144073001691,0.0,0.0,0.0,0.0,0.0,0.0
300,2.9751189520029584,0.0,0.0,0.0,0.0,0.0,0.0
301,2.9831253890006337,0.0,0.0,0.0,0.0,0.0,0.0
