sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
278,2.23175183100102,0.06271685706528059,-0.32133761544093925,-1.0286129468829217,0.011788339096020797,0.006352425639583634,-0.0024867828479718415,0.041581999999999814,0.05867200000469127,-0.2933409999990617,-0.0016329999999999997,0.0016519999999954741,0.0002830000000264207
279,2.2396788719997858,0.03974026564475207,-0.13644166643182462,-1.677859372325908,-0.00936617008510797,0.026400446754818938,-0.013636180808807671,0.10158199999999991,0.04867200000245228,-0.15333899999922168,-0.0036329999999999986,-0.003348000000036511,0.002282999999946459
280,2.247705178000615,-0.3971979279776233,-0.012608073459423339,-1.9406618160405265,-0.01043576296705525,0.016245305612451414,-0.017922555819882918,0.06158199999999981,0.028672000004691268,-0.2933409999995415,0.00036699999999999954,-0.00034799999998853337,-0.0007170000000055656
281,2.255721296001866,-0.5311988984744113,-0.4642073361983255,-1.3313786993000913,0.021770757645185216,-0.0019571799825815438,-0.007334019381013397,0.13158199999999975,0.04867200000661036,-0.41333999999922166,-0.005632999999999999,-0.002348000000020518,0.001282999999962453
282,2.263705914003367,0.015979157767621228,-0.04475861014823166,-1.7826349932322363,-0.010553147874945705,0.03426775914864051,-0.009065994858062518,0.10158199999999973,0.03867200000709013,-0.4433399999993816,-0.0016330000000000003,0.0006520000000114666,-0.0007169999999895718
283,2.271668822002539,-0.391780012572838,0.2875926491843159,-1.1536319225588483,-0.0035987398733988104,0.0036180306102050657,-0.005489825371735088,0.041581999999999605,0.018672000009968808,-0.6233409999997015,0.006366999999999997,0.010652000000091429,-0.005716999999829652
284,2.279745963001915,-0.09287857282384174,-0.32938813285937557,-1.3797032292736682,0.003133049942040781,0.021615922146480362,-0.006268906776422364,0.10158199999999971,0.058672000007410005,-0.46334099999906175,-0.003632999999999999,-0.0013480000000205185,0.0012829999999784444
285,2.287873669003602,-0.14273244348669764,-0.09333343474850508,-1.8441992029628136,-0.005464251791659324,0.013124901120853807,-0.0016262567882954458,0.12158199999999972,0.038672000006930204,-0.4333399999993816,-0.0016329999999999997,-0.0003480000000045259,0.0002829999999944356
286,2.295889826003986,-0.12290237954874256,-0.4267197743820962,-0.8061416997349162,0.041033886323203914,-0.010379747416681382,0.0021667552265761617,0.13158199999999973,0.038672000006930204,-0.4333399999993816,-0.0016329999999999997,-0.0023480000000045257,0.00028299999996245055
287,2.303858154002228,0.12493689936340441,-0.6981173318300746,-0.5733570140318373,0.03971736936846001,-0.0005093501621403648,0.003187945286013465,0.06158199999999981,0.04867200000469127,-0.29334099999922164,0.0013669999999999989,0.0036520000000274592,-0.0017169999999415962
288,2.311629064002773,-0.35097689281870315,0.5029278044637162,-1.7003653757477442,-0.022404151894340685,0.018320886335295196,-0.00633281968459698,0.09158199999999984,0.04867200000373168,-0.23333899999922167,-0.002632999999999999,-0.0013480000000205185,0.0012829999999784437
289,2.3198562050019973,-0.23365186961420803,-0.16651682107708338,-1.0814968962834846,0.027630159072691847,-0.0013439597763943614,0.007965707013081155,0.1115819999999999,0.058672000002612225,-0.16333999999906176,-0.006632999999999998,-0.0063480000000525035,0.0032829999998984834
