checkpoint,elapsed_end_s,elapsed_end_h,samples_cumulative,rate_hz_cumulative,samples_window,duration_window_s,rate_hz_window,Fx_N_mean,Fx_N_std,Fy_N_mean,Fy_N_std,Fz_N_mean,Fz_N_std,Mx_Nm_mean,Mx_Nm_std,My_Nm_mean,My_Nm_std,Mz_Nm_mean,Mz_Nm_std
37,33299.98478625098,9.249995773958604,33299644,999.9897661739737,899993,899.9538283990114,1000.0435262340717,2.4046541807679063,0.012565381981675693,-1.06415413460758,0.011772881984958242,-0.9065764236074513,0.010435224312340353,0.05204125855452965,0.00032474162928419856,-0.06417077442833266,0.0003258732817976205,0.061994313134556944,0.00031460311658002796
38,34199.98758642096,9.4999965517836,34199637,999.9897489313388,899993,899.954211380973,1000.0431006583851,2.405073608935959,0.012546000109084963,-1.0659775801036564,0.011832387963752668,-0.9050776883718178,0.010454920752559138,0.051998692612022536,0.00032503854931278486,-0.06418251030414672,0.0003258452077782743,0.06200821342601498,0.0003154425226809033
39,35099.99024005199,9.749997288903332,35099630,999.9897367478017,899993,899.9535038780305,1000.0438868472642,2.4039974869996996,0.012748579713391498,-1.0639372453918086,0.01172121824623666,-0.9064724319204617,0.010452850426854964,0.05202921450760984,0.0003238885956562356,-0.06417051757329734,0.0003284153907767897,0.06200249948237075,0.0003154351483548526
40,35999.992925081984,9.999998034744996,35999624,999.989752079042,899994,899.9534014600213,1000.0451118245821,2.4032018679569855,0.01268527974841448,-1.0651447586540137,0.011897327032904501,-0.9057369699065894,0.010454026896117853,0.051994183046833994,0.00032700807918698005,-0.06414401006918645,0.0003283770222516697,0.06200722687470363,0.00031585989205063305
41,36899.993578480964,10.249998216244713,36899616,999.9897675190604,899992,899.952261583996,1000.04415613772,2.4044866399721214,0.012649796753735783,-1.0643970117480233,0.012830660773806521,-0.9043916963116573,0.010453354426399336,0.052006335895863426,0.0003398312996751934,-0.064185787147159,0.0003278460187837255,0.062027568302387585,0.00031600331923112057
42,37799.996755917964,10.499999098866102,37799611,999.9897948161092,899995,899.9539280839963,1000.0456377984717,2.4049012267501593,0.012608739204475746,-1.0654143592886856,0.01178203218429969,-0.9051384624298566,0.01044400543492786,0.05198275188727881,0.00032501791934548834,-0.06421368536007166,0.00032664386427405125,0.06205074808505313,0.00031607064771509835
43,38699.998813843995,10.74999967051222,38699603,999.9897722517796,899992,899.9536683890037,1000.0425928715474,2.402765763886668,0.012535724371258954,-1.0672076426709907,0.011752054982025488,-0.9050632378308061,0.010456797183205618,0.05194493107899225,0.00032487642511826783,-0.06418701081166844,0.00032597809683901244,0.06209935381952251,0.000315178363808988
44,39599.99999676697,10.999999999101936,39599562,999.9889394755807,899959,899.9525282320101,1000.0071912326338,2.4027341276192584,0.01260358597932439,-1.0658985220519492,0.011519093432947332,-0.9049342441988544,0.010463663671973178,0.0519726711543658,0.0003222763441316068,-0.06420913846292897,0.00032695430174076883,0.062138545177675655,0.0003161201835748685
45,40499.955219809955,11.24998756105832,40499540,999.9897476476776,899978,899.9552096379921,1000.0253238847488,2.402596347762301,0.012743603238524663,-1.066095047898993,0.01173991698684275,-0.905397031607147,0.010458897136005072,0.05197140466737354,0.000324795540479802,-0.0642257113103218,0.00032850573291598836,0.06215255416903659,0.00031560591007623047
46,41399.957462197985,11.499988183943884,41399532,999.9897231247551,899992,899.9538711719797,1000.0423675359834,2.4009988343587163,0.01251830316314022,-1.0657531763789565,0.011720746166546715,-0.9056491020415226,0.0104698650233679,0.05198109915921385,0.0003246310632769367,-0.06421133397040507,0.000325591154073255,0.06218069489170539,0.0003159386185906971
