elapsed_h,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
3.04447614446166,2.41205325,-1.08346006,-0.875131926,0.0521752413,-0.0639410641,0.061778219
3.0555872436874942,2.39190653,-1.06696755,-0.892361147,0.0520586703,-0.0637928148,0.0612564693
3.0722540761411072,2.40765779,-1.05292222,-0.882573547,0.0525980926,-0.0640294046,0.0615421224
3.0889207094402646,2.43395324,-1.09329055,-0.866812279,0.051631709,-0.0643745054,0.0613244565
3.1055873591127683,2.43598416,-1.07859165,-0.894763166,0.0518249711,-0.0648737556,0.061513152
3.122253964356108,2.41326935,-1.0855297,-0.882886266,0.0521499105,-0.0643923744,0.0609925805
3.1389206502258213,2.4005202,-1.07629857,-0.873260506,0.0515633108,-0.0639070112,0.0617261646
3.1555871857838875,2.42668661,-1.06138888,-0.896005714,0.0525105651,-0.06436313,0.0611208237
3.1722539771341607,2.44306842,-1.08740536,-0.885344838,0.0514964515,-0.0647607693,0.0605956536
3.1889207434383247,2.4187887,-1.05986115,-0.896999693,0.0526316707,-0.0643294789,0.0618290267
3.2055873585869428,2.43063549,-1.08971999,-0.89277002,0.0515842486,-0.0647217114,0.0610990867
3.2222542663616576,2.43029808,-1.07703799,-0.886839168,0.0517072585,-0.0645562734,0.0610716142
3.2389207560261033,2.43104685,-1.05843193,-0.877895691,0.052215893,-0.0644147324,0.0616042141
3.255587418070823,2.44376722,-1.07902544,-0.872806405,0.0521382748,-0.0651533123,0.0606972234
3.27225409618249,2.41959271,-1.08018213,-0.897379778,0.051499365,-0.0642673233,0.0611691563
3.2889208154294303,2.45224468,-1.05403508,-0.879472658,0.0519726314,-0.0650937641,0.0618263233
3.305587577789168,2.44090394,-1.08731936,-0.88321031,0.0515645346,-0.0649672745,0.0611295778
3.3222541843666598,2.4226917,-1.07902887,-0.885956613,0.0519914868,-0.0640781985,0.0609612994
3.3333655420680426,2.41677239,-1.09163752,-0.894030906,0.0516671456,-0.064152693,0.0617473124
3.3500321176183285,2.40546364,-1.0666533,-0.866865179,0.0522404885,-0.0643743136,0.0615183533
3.366698758521654,2.40572712,-1.08535391,-0.893867167,0.0516680818,-0.0638930055,0.0616095844
