sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1891,3.675931695,-0.2080087644,-3.40635701866,-6.06990818662,0.126631382617,-0.011362961719,0.0129693564011,0,0,0,0,0,0,0.081582,0.118672000002,-0.143338999998,-0.001633,0.003652,0.000283000000058
1892,3.677931495,0.321713579256,-3.42624946861,-6.06968175317,0.132930533969,0.0140153576103,0.0134772140235,0,0,0,0,0,0,0.161582,0.148672000002,-0.153338999998,-0.006633,-0.000348000000037,0.00228299999999
1893,3.679918931,-0.200918700444,-3.10965566747,-6.11087586593,0.116320462203,-0.0115755566631,0.00399792916148,0,0,0,0,0,0,0.161582,0.148672000002,-0.153338999998,-0.006633,-0.000348000000037,0.00228299999999
1894,3.681921707,-0.349832291697,-3.55931947411,-6.40732227674,0.132554762674,-0.0161722178445,0.00469760976117,0,0,0,0,0,0,0.161582,0.148672000002,-0.153338999998,-0.006633,-0.000348000000037,0.00228299999999
1895,3.683915836,-0.0820051103715,-2.86306205934,-6.20334323795,0.109341327376,-0.0153746003664,-0.000239226914946,0,0,0,0,0,0,0.161582,0.148672000002,-0.153338999998,-0.006633,-0.000348000000037,0.00228299999999
1896,3.685923421,-0.14629873529,-3.16873170479,-6.33250437754,0.11845077183,-0.00472713450328,0.0116577225398,0,0,0,0,0,0,0.111582,0.108672000001,-0.0433409999983,-0.002633,-0.000348000000005,0.000282999999994
1897,3.687922810,0.0211080774953,-2.95969141173,-6.01875347018,0.115035422739,-0.0132828470933,0.0107435492161,0,0,0,0,0,0,0.111582,0.108672000001,-0.0433409999983,-0.002633,-0.000348000000005,0.000282999999994
1898,3.689934252,-0.42295868376,-3.16387392984,-6.13335256351,0.125764302454,-0.0235094252773,0.00852464987593,0,0,0,0,0,0,0.111582,0.108672000001,-0.0433409999983,-0.002633,-0.000348000000005,0.000282999999994
1899,3.691912552,-0.319316052193,-3.07557381243,-6.51953368358,0.10117967133,-0.0033565866553,0.0111972007699,0,0,0,0,0,0,0.111582,0.108672000001,-0.0433409999983,-0.002633,-0.000348000000005,0.000282999999994
1900,3.693941717,-0.39740973367,-3.13410045884,-7.02045646056,0.0995486568676,0.00406507345224,0.00239271486702,0,0,0,0,0,0,0.131582,0.138672000001,-0.0933399999978,-0.005633,-0.000348000000037,0.00228299999999
1901,3.695921871,-0.481897129233,-3.27666524368,-6.85361799393,0.0949682322058,0.000129933218272,0.00122524698529,0,0,0,0,0,0,0.131582,0.138672000001,-0.0933399999978,-0.005633,-0.000348000000037,0.00228299999999
1902,3.697925457,-0.383804512145,-3.13038442569,-6.3207121132,0.114456010135,-0.0115955880751,0.0068183309159,0,0,0,0,0,0,0.131582,0.138672000001,-0.0933399999978,-0.005633,-0.000348000000037,0.00228299999999
1903,3.699922152,-0.248678441198,-2.99750944468,-6.28834029332,0.109235583465,-0.00585920408133,0.00971229909798,0,0,0,0,0,0,0.131582,0.138672000001,-0.0933399999978,-0.005633,-0.000348000000037,0.00228299999999
1904,3.701925218,-0.674789799027,-2.79697472454,-6.46987649832,0.0879702648339,-0.0156601529611,0.00477637190168,0,0,0,0,0,0,0.111582,0.0686719999989,0.0666600000011,-0.004633,-0.000348000000021,0.00128299999999
1905,3.703922924,-0.136281509113,-3.04791584129,-6.47758427512,0.103349279198,-0.00469804512334,0.00995709096087,0,0,0,0,0,0,0.111582,0.0686719999989,0.0666600000011,-0.004633,-0.000348000000021,0.00128299999999
1906,3.705914970,-0.28794079341,-2.98945462876,-6.40266827127,0.10047243461,0.00711628405974,0.00559146775386,0,0,0,0,0,0,0.111582,0.0686719999989,0.0666600000011,-0.004633,-0.000348000000021,0.00128299999999
1907,3.707918607,-0.247779849639,-2.96755369253,-6.29566272936,0.113636298141,-0.00329687441714,0.00520932748425,0,0,0,0,0,0,0.111582,0.0686719999989,0.0666600000011,-0.004633,-0.000348000000021,0.00128299999999
1908,3.709929798,-0.259844156366,-3.30606379514,-6.11665028835,0.125180971492,-0.0205095562081,0.0117314790584,0,0,0,0,0,0,0.121582,0.0786720000015,-0.0933399999987,-0.001633,0.002652,0.000283000000042
1909,3.711921814,-0.422052673643,-3.17986485329,-5.76868732867,0.126297537883,-0.0175876681524,0.0142404581701,0,0,0,0,0,0,0.121582,0.0786720000015,-0.0933399999987,-0.001633,0.002652,0.000283000000042
1910,3.713923808,-0.231887594838,-3.44131375755,-6.13834899435,0.143168332413,-0.0236447368407,0.00804697810962,0,0,0,0,0,0,0.121582,0.0786720000015,-0.0933399999987,-0.001633,0.002652,0.000283000000042
1911,3.715912106,0.219707876428,-3.15337053815,-6.17350108614,0.114005685856,-0.00223823931701,0.0125517896465,0,0,0,0,0,0,0.121582,0.0786720000015,-0.0933399999987,-0.001633,0.002652,0.000283000000042
1912,3.717935441,-0.351587865986,-3.55585282273,-6.57413579846,0.120986185355,-0.00865998411678,0.00435476656303,0,0,0,0,0,0,0.071582,0.0786720000012,-0.0733389999987,0.000367,0.00465200000001,-0.000716999999926
1913,3.719927326,-0.369865289223,-3.06474366302,-6.66086566659,0.102827439182,-0.00746701997313,0.00245751894679,0,0,0,0,0,0,0.071582,0.0786720000012,-0.0733389999987,0.000367,0.00465200000001,-0.000716999999926
1914,3.721928138,0.55454557809,-3.00906673757,-6.10923439612,0.114314160058,0.00958010606561,0.0100443236458,0,0,0,0,0,0,0.071582,0.0786720000012,-0.0733389999987,0.000367,0.00465200000001,-0.000716999999926
1915,3.723911297,-0.0810635224143,-3.24666798699,-6.40278120615,0.114011286705,-0.0102238931991,0.0153024878294,0,0,0,0,0,0,0.071582,0.0786720000012,-0.0733389999987,0.000367,0.00465200000001,-0.000716999999926
1916,3.725938999,-0.00833144692011,-3.2073986019,-6.24123577952,0.130464476503,-0.0171019683269,0.0113850600588,0,0,0,0,0,0,0.051582,0.0486720000017,-0.103339999999,0.005367,0.00965200000006,-0.00371699999985
1917,3.727928890,-0.430223723558,-2.83925469641,-5.91874915947,0.123862806857,-0.0305195831757,0.0085291436627,0,0,0,0,0,0,0.051582,0.0486720000017,-0.103339999999,0.005367,0.00965200000006,-0.00371699999985
1918,3.729918161,0.259792572102,-3.01820099453,-6.31546799709,0.119138693447,-0.00128924469563,-0.000316913334098,0,0,0,0,0,0,0.051582,0.0486720000017,-0.103339999999,0.005367,0.00965200000006,-0.00371699999985
1919,3.731918652,-0.290840189219,-3.34055863608,-6.29238571054,0.131376443281,-0.00823366601998,0.0141870422367,0,0,0,0,0,0,0.051582,0.0486720000017,-0.103339999999,0.005367,0.00965200000006,-0.00371699999985
1920,3.733925756,0.332471360757,-3.27056441722,-6.14209010732,0.120042470796,-0.00330159209529,0.00218822025138,0,0,0,0,0,0,0.061582,0.0286720000009,-0.0533389999995,0.004367,0.00665200000003,-0.00171699999989
1921,3.735919916,-0.122057540883,-3.37919684724,-6.13066927425,0.127586754301,0.000925334069982,0.00954087560464,0,0,0,0,0,0,0.061582,0.0286720000009,-0.0533389999995,0.004367,0.00665200000003,-0.00171699999989
1922,3.737918644,0.0485114375527,-2.71663302185,-6.39956936687,0.105179701402,0.000809395096961,0.00736414942676,0,0,0,0,0,0,0.061582,0.0286720000009,-0.0533389999995,0.004367,0.00665200000003,-0.00171699999989
1923,3.739913985,0.27108049798,-3.18614462064,-6.61471609664,0.117062947099,0.01025948776,0.0107077330658,0,0,0,0,0,0,0.061582,0.0286720000009,-0.0533389999995,0.004367,0.00665200000003,-0.00171699999989
1924,3.741978797,-0.0155268308216,-3.07881086676,-6.36379968183,0.110479410871,0.00137988034433,0.00473894102934,0,0,0,0,0,0,0.061582,0.0486720000018,-0.113339999999,0.004367,0.00765200000004,-0.00271699999988
1925,3.743914507,-0.12360598956,-3.22060799591,-6.20702773094,0.116860036645,-0.007214346914,0.00263987612288,0,0,0,0,0,0,0.061582,0.0486720000018,-0.113339999999,0.004367,0.00765200000004,-0.00271699999988
1926,3.745917894,-0.296591272705,-3.19268758898,-6.35559185637,0.105140888007,0.00177605278841,0.00807833771198,0,0,0,0,0,0,0.061582,0.0486720000018,-0.113339999999,0.004367,0.00765200000004,-0.00271699999988
1927,3.747909919,-0.436477070739,-3.03447593612,-6.22432041345,0.109808897609,-0.00941021491316,0.000818901273594,0,0,0,0,0,0,0.061582,0.0486720000018,-0.113339999999,0.004367,0.00765200000004,-0.00271699999988
