method,unit,condition,scheduled_phase,slot_state,attempt_id,status,artifact_parsed,artifact_sha256,reason,force_mae_n,force_rmse_n,force_peak_n,force_error_peak_n,load_min_n,path_rms_m,path_peak_m,progress_ratio,actual_progress_m,reference_progress_m,attitude_rms_rad,attitude_peak_rad,low_load_duration_s,saturation_ticks,qp_intervention_ticks,low_load_duration_definition
DSFC,6,nominal,initial,completed_nominal_infeasible,DSFC-06-nominal,complete,True,32e6bafa68135c0aa0a713216703532ac0d547451389560f34cfc6a314fc7f16,,0.13545838360257198,0.3217956004500729,6.9758156849792545,1.9758156849792545,3.7318302875163982,0.004506212869752748,0.006512910583641503,0.8334828145679664,0.1584629454815726,0.1901214310743905,0.012009155407511372,0.024660802538610884,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,6,disturbed,initial,completed_nominal_infeasible,DSFC-06-disturbed,complete,True,da4abffe206386336d09baddcb3410e90879b0d3d2f144e9bdec8c9cd2944e0e,,0.49647850095773305,0.880836375934805,6.9758156849792545,3.183806704166355,1.816193295833645,0.00482238782560032,0.009608753528922584,0.8756191765149465,0.16647554513193644,0.19012322890703018,0.01683066856243482,0.03592735732004464,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,7,nominal,initial,completed_nominal_and_disturbed_guard_infeasible,DSFC-07-nominal,complete,True,1bdffc9dfc6a9218c3f6f7c6e4a733e83acd57243d36aab27f8a8a41868777a8,,0.7852395897427239,0.9594907939446768,7.513459612475573,2.5134596124755726,2.621487601779658,0.005878883958107587,0.010106540729844456,0.855667864740343,0.1626787585716818,0.19011904650766281,0.028409869706908508,0.05664829971752819,0.0,0,2099,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,7,disturbed,initial,completed_nominal_and_disturbed_guard_infeasible,DSFC-07-disturbed,complete,True,a7ff573fb23c3ea6c4fb954d64b301f64057916009488e28ca6b440f3449fe0f,,0.7693876430599966,1.1462323937328693,7.513459612475573,3.312666625218795,1.6873333747812047,0.006989239070708478,0.012991536426217004,0.8179082473788628,0.1555071172830605,0.19012782641746384,0.05072542181538209,0.08184931541149583,0.0,0,2099,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,8,nominal,bayesian_ei,completed_feasible,DSFC-08-nominal,complete,True,1104d5c90c3f46cd0d4e290c33f1494d5316db3a65982e3b8a6291015f37d168,,0.08359195466144587,0.20628946674842177,6.032611596816165,1.0326115968161647,4.014945126086592,0.005283292032575636,0.007306557996610586,0.8628061619258621,0.16403718748635676,0.19012055630225308,0.03659385102810199,0.0727362428389644,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,8,disturbed,bayesian_ei,completed_feasible,DSFC-08-disturbed,complete,True,762ea4d7363df69fb8fd010c8990e4f0b542608ad62c26aba864da42a4b8edd5,,0.45212597428451073,0.8253784711956594,6.032611596816165,2.6460550012205513,2.3539449987794487,0.006650134906497864,0.014565426261235088,0.8716805576440889,0.16572953045252864,0.19012645056630567,0.054827073075231464,0.14338170897241503,0.0,529,5169,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,9,nominal,bayesian_ei,completed_nominal_infeasible,DSFC-09-nominal,complete,True,fcda63440634174b815cdb7059356904251c00a2dc22ef3daf0f95a446014f97,,1.3731064972491485,1.638820759536976,9.718595923414545,4.718595923414545,2.093609883580144,0.010946308862392144,0.026286348456544918,0.8988066977676038,0.17087169568877528,0.19010950420504766,0.2250653825283018,0.3896170502268254,0.0,19024,2,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,9,disturbed,bayesian_ei,completed_nominal_infeasible,DSFC-09-disturbed,complete,True,26ea727798c9acb15f7c93e7b0cacaa7ac22e52feae22f9bfe8d549318e19c42,,0.6837443522992563,1.1402921752090056,7.247737565323925,3.791703735505637,1.208296264494363,0.00841970808539009,0.01861404155756191,0.8636567602742937,0.1642061885758498,0.19012899120212826,0.09480055465810647,0.21820952616224118,0.0,7533,1358,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,10,nominal,bayesian_ei,completed_nominal_infeasible,DSFC-10-nominal,complete,True,b7062ce9376a5c9f20d36c47342c738d1606d3e64ba56c2cecd6891a5f064006,,0.13143659753807665,0.29831004505355124,6.313318685213937,1.313318685213937,3.7820142624209665,0.005555270083233741,0.008512165841509739,0.8504251143481791,0.1616834465231126,0.19012073349578493,0.04959300355083147,0.12167463462587444,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,10,disturbed,bayesian_ei,completed_nominal_infeasible,DSFC-10-disturbed,complete,True,93f074ab66d99decae5d681dcdff887a14c8878eacb75cdd0fac6699de84c741,,0.49934663861790685,0.8638427883112489,6.313318685213937,2.766830841122231,2.233169158877769,0.007085633572363683,0.016727317032999033,0.8645224528977895,0.16436893354030815,0.19012685325795825,0.06296647484495212,0.13283282641949912,0.0,979,4139,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,11,nominal,bayesian_ei,completed_nominal_infeasible,DSFC-11-nominal,complete,True,5c3a7ae296ccd930f1a6abedddd48deda0113e127f0c449eda87462330c908fd,,0.22627864631534755,0.4147430902936881,6.567976633895838,1.5679766338958379,3.5574859856989955,0.005694785963868539,0.009043621087708769,0.8528304176857984,0.16214085821654034,0.19012086676800102,0.063549524042709,0.14662961211382328,0.0,41,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,11,disturbed,bayesian_ei,completed_nominal_infeasible,DSFC-11-disturbed,complete,True,1920bcc364418b703f808fcb0d8caaa9de257b5534dbe5db57e0e41cdb713f5d,,0.5608934345185448,0.9153798860926442,6.567976633895838,2.837950638935684,2.162049361064316,0.007356165094079882,0.017561072004612117,0.8685410600547828,0.16513333102521363,0.19012725894017943,0.07177266653237771,0.14662961211382328,0.0,1286,3849,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,12,nominal,bayesian_ei,completed_nominal_and_disturbed_guard_infeasible,DSFC-12-nominal,complete,True,273bdc6fad3380b6bb547f346559c115aaf0fa2c7d75c7a02d9c556fc9cffa6b,,1.5846948742048341,1.9143578306162972,11.051599135935465,6.051599135935465,1.4267880945187752,0.012432507018611599,0.03125960915965723,0.8908615381166753,0.16935847698893178,0.19010639672127258,0.2546375427936872,0.46533483452318447,0.0,21280,24,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,12,disturbed,bayesian_ei,completed_nominal_and_disturbed_guard_infeasible,DSFC-12-disturbed,complete,True,7dc89d0e86bdcae90a443724812c639759c79d01a180af8e08bbf93e0ba5e940,,0.7698732460506528,1.2730260133714213,7.519400097461833,5.0,0.0,0.008653548679413295,0.01916181452751338,0.8618148507540581,0.16385599162937262,0.1901289952081985,0.10527548003882747,0.2406665386024911,0.788,9212,2522,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,13,nominal,bayesian_ei,completed_feasible,DSFC-13-nominal,complete,True,88232d4da28090db8242c367ca20a7e0b39461453ac17f002acea8025a1a33cc,,0.08970084489186264,0.21353973412087154,5.971688412273562,0.9716884122735623,4.094871301516196,0.0053909366510351085,0.00784375871338102,0.8567606261613181,0.1628879259575234,0.1901206953070851,0.042076151130567986,0.08293816853390766,0.0,0,17,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,13,disturbed,bayesian_ei,completed_feasible,DSFC-13-disturbed,complete,True,345273ae63b049edc7b9b44119c774305c25294e60581d321b3cb63067bb7d04,,0.45635638459165573,0.8496019063258642,5.971688412273562,3.0054500902758794,1.9945499097241206,0.007096612995376163,0.01740688348526491,0.8765821937621459,0.16666195211684118,0.19012701068174295,0.05719180020608065,0.1189928790607379,0.0,1091,2886,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,14,nominal,bayesian_ei,completed_nominal_infeasible,DSFC-14-nominal,complete,True,f843b7ab0ad36f7f67a67257d4e80ed5c1a36d0b6101026c8bf441c663252a54,,0.12182921069785121,0.2789705893456677,6.271310668345878,1.271310668345878,3.8101316093740034,0.005497071353260702,0.00822527752740051,0.854130189221651,0.16238781670134214,0.19012068505542742,0.04634041305235155,0.11374010355572062,0.0,0,0,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,14,disturbed,bayesian_ei,completed_nominal_infeasible,DSFC-14-disturbed,complete,True,973ca930ea539f2bcbcf7e5fc99ab5d735f36f751a4a240d3fc9c891a9bcfab1,,0.4912989515979567,0.8485720565610331,6.271310668345878,2.623869727292123,2.376130272707877,0.006882938268104079,0.015355634840451559,0.861713208989788,0.16383459758951732,0.19012659418507172,0.06181278102867333,0.14125433186502728,0.0,696,5201,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,15,nominal,bayesian_ei,completed_nominal_and_disturbed_guard_infeasible,DSFC-15-nominal,complete,True,c80c931ea7baf87a5b181485706135577d2b02284a7832c5e144ab027537c3e9,,1.8851062010769555,2.2969733885466823,13.113321669592787,8.113321669592787,0.2911415549624972,0.017275037085264795,0.045104551899421835,0.8455593157429235,0.16073556744123893,0.19009378106137212,0.337385919016417,0.6309870713971486,0.8160000000000001,24326,577,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,15,disturbed,bayesian_ei,completed_nominal_and_disturbed_guard_infeasible,DSFC-15-disturbed,complete,True,6109d6ca3d7bdc3ffe4a5a885ad5b2737cbf5f9da1fbefc93674c66dc37a663e,,1.7695383888426168,2.1844139732442382,12.001808464756465,7.001808464756465,0.0,0.015412908895726945,0.036707482963279005,0.8523134132621686,0.16203308566195945,0.19010974500775416,0.26950299716553267,0.5467661321513961,2.09,23939,3413,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
